TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  1.580 |     FL |  SWING | UNSTABLE |    0.113 |    9.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.590 |     FL |  SWING | UNSTABLE |    0.114 |    9.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.600 |     FL |  SWING | UNSTABLE |    0.114 |   10.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.610 |     FL |  SWING | UNSTABLE |    0.115 |   10.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.620 |     FL |  SWING | UNSTABLE |    0.116 |   10.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.630 |     FL |  SWING | UNSTABLE |    0.116 |   10.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.640 |     FL |  SWING | UNSTABLE |    0.117 |   10.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.650 |     FL |  SWING | UNSTABLE |    0.118 |   10.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.660 |     FL |  SWING | UNSTABLE |    0.119 |   10.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.670 |     FL |  SWING | UNSTABLE |    0.119 |   10.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.680 |     FL |  SWING | UNSTABLE |    0.120 |   11.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.690 |     FL |  SWING | UNSTABLE |    0.121 |   11.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.700 |     FL |  SWING | UNSTABLE |    0.121 |   11.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.710 |     FL |  SWING | UNSTABLE |    0.122 |   11.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.720 |     FL |  SWING | UNSTABLE |    0.123 |   11.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.730 |     FL |  SWING | UNSTABLE |    0.124 |   11.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.740 |     FL |  SWING | UNSTABLE |    0.124 |   11.75 |  -10.00 |  -10.00 |  -10.00 |       none
